company_id,name,sector,legal_form
1,ZIT,Pharma,Ltd.
2,Novesio,Pharma,Ltd.
3,William Ramirez,Automotive,Inc.
4,Auron,Health,Co.
5,GTA,Health,Inc.
6,Avina,Health,Group
7,ENR,Automotive,Corporation
8,QDL,Automotive,Group
9,SCQ,Pharma,Ltd.
10,FNO,Pharma,LP
11,Arquis,Automotive,Group
12,Artana,Health,LP
13,Evexis,Pharma,GP
14,MindStation,Pharma,Corp.
15,Epcium,Automotive,LP
16,Curana,Automotive,Group
17,Artis,Health,Group
18,TradeSet,Health,LP
19,Entranum,Health,Corp.
20,Norman Brown,Pharma,Ltd.
21,SiliconBase,Health,LLP
22,KXH,Health,Inc.
23,Deltex,Health,Co.
24,Thomas Bond,Pharma,GP
25,YourForge,Automotive,Co.
26,Robert Poole,Automotive,Group
27,CompuStation,Health,Inc.
28,Cinton,Health,Corp.
29,Entrera,Health,LLC
30,Javier Hall,Health,GP
31,Novum,Health,Ltd.
32,DFM,Automotive,LLC
33,XGM,Automotive,Co.
34,Epcanum,Pharma,LLP
35,Arquexon,Health,GP
36,John Rice,Automotive,Corporation
37,HotVision,Pharma,Ltd.
38,Arquicom,Automotive,Co.
39,Celina,Health,Corp.
40,Albeco,Automotive,LLC
41,MicroForge,Health,LLP
42,DataBase,Health,Ltd.
43,Colentis,Health,LLP
44,Pulsum,Health,LLP
45,YourCard,Pharma,Ltd.
46,Wireology,Health,LLP
47,XYS,Pharma,GP
48,XPB,Pharma,Corp.
49,SolarSpace,Automotive,LLC
50,Agrera,Health,LLP
51,IHO,Health,Ltd.
52,Lindis,Pharma,LP
53,Cintium,Automotive,Inc.
54,NEW,Automotive,Corp.
55,Gary Dennis,Pharma,Inc.
56,Patrick King,Automotive,LLP
57,CodeCom,Pharma,Co.
58,WireStar,Pharma,GP
59,NanoBase,Automotive,Ltd.
60,HotSystems,Pharma,LLC
61,Pulsanum,Health,LLC
62,Sarton,Automotive,Group
63,Altis,Pharma,GP
64,HotTech,Health,Group
65,Epcia,Automotive,LLP
66,TechZone,Automotive,Group
67,Pulsoni,Health,Co.
68,FreeDirect,Pharma,Corp.
69,Jason Myers,Automotive,LP
70,George Paul,Automotive,LP
71,ZRC,Pharma,Corporation
72,Troy Fitzgerald,Pharma,LP
73,SKM,Health,Ltd.
74,Noventis,Pharma,Co.
75,Ian Gardner,Pharma,Co.
76,GigaForge,Pharma,LLC
77,Michael Garrison,Health,LLC
78,Infinium,Pharma,Group
79,David Torres,Pharma,LP
80,VentureWorks,Pharma,Corporation
81,MicroWorks,Automotive,Ltd.
82,Melvin Morgan,Pharma,GP
83,LinkBit,Health,Inc.
84,Kontress,Pharma,LLC
85,InfoCast,Health,GP
86,CIT,Health,Co.
87,QTF,Pharma,LLP
88,Altar,Health,Inc.
89,CyberSystems,Automotive,Ltd.
90,LLT,Automotive,Ltd.
91,Centrium,Health,GP
92,AVM,Pharma,LLC
93,Daniel Henry,Pharma,Inc.
94,Sygnotec,Health,GP
