,database,engine,test_name,test_type,cpus,indexed_table,was_indexed,result_size,query,query_type,table_size,real,user,sys
0,MySQL,InnoDB,create,create,1,,,,,,,0.219,0.006,0.007
1,MySQL,InnoDB,create,create,1,,,,,,,0.206,0.005,0.008
2,MySQL,InnoDB,create,create,1,,,,,,,0.212,0.006,0.007
3,MySQL,InnoDB,create,create,1,,,,,,,0.209,0.0,0.013
4,MySQL,InnoDB,create,create,1,,,,,,,0.206,0.006,0.006
5,MySQL,InnoDB,create,create,1,,,,,,,0.204,0.006,0.005
6,MySQL,InnoDB,create,create,1,,,,,,,0.225,0.006,0.006
7,MySQL,InnoDB,create,create,1,,,,,,,0.213,0.012,0.0
8,MySQL,InnoDB,create,create,1,,,,,,,0.214,0.012,0.0
9,MySQL,InnoDB,create,create,1,,,,,,,0.223,0.0,0.011
10,MySQL,InnoDB,create,create,1,,,,,,,0.203,0.004,0.007
11,MySQL,InnoDB,create,create,2,,,,,,,0.209,0.006,0.006
12,MySQL,InnoDB,create,create,2,,,,,,,0.2,0.0,0.012
13,MySQL,InnoDB,create,create,2,,,,,,,0.183,0.0,0.011
14,MySQL,InnoDB,create,create,2,,,,,,,0.21,0.006,0.006
15,MySQL,InnoDB,create,create,2,,,,,,,0.207,0.006,0.006
16,MySQL,InnoDB,create,create,2,,,,,,,0.209,0.005,0.007
17,MySQL,InnoDB,create,create,2,,,,,,,0.209,0.005,0.007
18,MySQL,InnoDB,create,create,2,,,,,,,0.208,0.0,0.011
19,MySQL,InnoDB,create,create,2,,,,,,,0.207,0.007,0.004
20,MySQL,InnoDB,create,create,2,,,,,,,0.21,0.0,0.011
21,MySQL,InnoDB,create,create,2,,,,,,,0.201,0.004,0.007
22,MySQL,InnoDB,create,create,4,,,,,,,0.202,0.005,0.007
23,MySQL,InnoDB,create,create,4,,,,,,,0.207,0.005,0.007
24,MySQL,InnoDB,create,create,4,,,,,,,0.207,0.001,0.01
25,MySQL,InnoDB,create,create,4,,,,,,,0.218,0.0,0.012
26,MySQL,InnoDB,create,create,4,,,,,,,0.225,0.0,0.012
27,MySQL,InnoDB,create,create,4,,,,,,,0.214,0.006,0.006
28,MySQL,InnoDB,create,create,4,,,,,,,0.213,0.0,0.011
29,MySQL,InnoDB,create,create,4,,,,,,,0.214,0.005,0.007
30,MySQL,InnoDB,create,create,4,,,,,,,0.208,0.007,0.005
31,MySQL,InnoDB,create,create,4,,,,,,,0.211,0.005,0.007
32,MySQL,InnoDB,create,create,4,,,,,,,0.21,0.005,0.007
33,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.608,0.093,0.005
34,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.576,0.079,0.014
35,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.603,0.083,0.015
36,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.605,0.081,0.013
37,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.601,0.073,0.023
38,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.6,0.078,0.016
39,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.601,0.066,0.026
40,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.603,0.072,0.025
41,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.606,0.073,0.023
42,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.617,0.072,0.024
43,MySQL,InnoDB,group_by_order,select,1,clients_1000000_all,True,361802,clients_1000000_all,ALL,1000000,0.599,0.079,0.015
44,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.101,0.021,0.008
45,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.102,0.018,0.011
46,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.103,0.019,0.011
47,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.105,0.025,0.004
48,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.106,0.015,0.015
49,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.103,0.016,0.012
50,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.101,0.022,0.007
51,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.107,0.017,0.011
52,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.101,0.024,0.005
53,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.107,0.017,0.012
54,MySQL,InnoDB,group_by_order,select,1,clients_100000_all,True,72478,clients_100000_all,ALL,100000,0.101,0.018,0.011
55,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.022,0.004,0.01
56,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.023,0.008,0.007
57,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.022,0.008,0.007
58,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.023,0.004,0.01
59,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.023,0.004,0.01
60,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.034,0.008,0.008
61,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.022,0.004,0.01
62,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.023,0.008,0.007
63,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.022,0.009,0.005
64,MySQL,InnoDB,group_by_order,select,1,clients_10000_all,True,9384,clients_10000_all,ALL,10000,0.037,0.0,0.015
