,database,engine,cpus,indexed_table,query,query_type,real,real_stddev,result_size,sys,sys_stddev,table_size,test_name,test_type,user,user_stddev,was_indexed
0,MySQL,InnoDB,1.0,,,,0.2122,0.0072,,0.0064,0.0037,,create,create,0.0057,0.0037,
1,MySQL,InnoDB,2.0,,,,0.207,0.0076,,0.008,0.0026,,create,create,0.0035,0.0028,
2,MySQL,InnoDB,4.0,,,,0.2104,0.0059,,0.0083,0.0024,,create,create,0.0035,0.0026,
3,MySQL,InnoDB,1.0,clients_1000000_all,clients_1000000_all,ALL,0.6043,0.0094,361802.0,0.0194,0.0063,1000000.0,group_by_order,select,0.0756,0.0069,1.0
4,MySQL,InnoDB,1.0,clients_100000_all,clients_100000_all,ALL,0.1034,0.0023,72478.0,0.0097,0.0032,100000.0,group_by_order,select,0.0193,0.0031,1.0
5,MySQL,InnoDB,1.0,clients_10000_all,clients_10000_all,ALL,0.0237,0.0051,9384.0,0.0081,0.0026,10000.0,group_by_order,select,0.0064,0.0027,1.0
6,MySQL,InnoDB,1.0,clients_1000_all,clients_1000_all,ALL,0.0158,0.0045,989.0,0.0083,0.0028,1000.0,group_by_order,select,0.0045,0.0024,1.0
7,MySQL,InnoDB,1.0,clients_100_all,clients_100_all,ALL,0.0131,0.0044,100.0,0.0055,0.0024,100.0,group_by_order,select,0.0064,0.0025,1.0
8,MySQL,InnoDB,1.0,clients_10_all,clients_10_all,ALL,0.0127,0.0056,10.0,0.0074,0.0035,10.0,group_by_order,select,0.0045,0.0037,1.0
9,MySQL,InnoDB,1.0,clients_1_all,clients_1_all,ALL,0.0129,0.0038,1.0,0.0063,0.0031,1.0,group_by_order,select,0.0055,0.0029,1.0
10,MySQL,InnoDB,1.0,clients_base_all,clients_base_all,ALL,3.7383,0.0132,923828.0,0.0281,0.0109,10000000.0,group_by_order,select,0.1969,0.0109,1.0
11,MySQL,InnoDB,1.0,clients_1000000_all,clients_1000000_all,ALL,1.6896,0.0376,361802.0,0.0215,0.0044,1000000.0,group_by_order,select,0.0787,0.0039,0.0
12,MySQL,InnoDB,1.0,clients_100000_all,clients_100000_all,ALL,0.1765,0.0068,72478.0,0.0086,0.0047,100000.0,group_by_order,select,0.0236,0.0048,0.0
13,MySQL,InnoDB,1.0,clients_10000_all,clients_10000_all,ALL,0.0301,0.0055,9384.0,0.0081,0.0026,10000.0,group_by_order,select,0.0071,0.0029,0.0
14,MySQL,InnoDB,1.0,clients_1000_all,clients_1000_all,ALL,0.0146,0.003,989.0,0.0083,0.0027,1000.0,group_by_order,select,0.0042,0.0026,0.0
15,MySQL,InnoDB,1.0,clients_100_all,clients_100_all,ALL,0.0146,0.0055,100.0,0.0077,0.0025,100.0,group_by_order,select,0.0049,0.0027,0.0
16,MySQL,InnoDB,1.0,clients_10_all,clients_10_all,ALL,0.0137,0.0042,10.0,0.0089,0.004,10.0,group_by_order,select,0.0035,0.0042,0.0
17,MySQL,InnoDB,1.0,clients_1_all,clients_1_all,ALL,0.0135,0.0036,1.0,0.0095,0.0026,1.0,group_by_order,select,0.0025,0.0025,0.0
18,MySQL,InnoDB,1.0,clients_base_all,clients_base_all,ALL,19.96,0.0831,923828.0,0.0348,0.0104,10000000.0,group_by_order,select,0.1995,0.0115,0.0
19,MySQL,InnoDB,2.0,clients_1000000_all,clients_1000000_all,ALL,0.5621,0.0121,361802.0,0.0235,0.0057,1000000.0,group_by_order,select,0.0729,0.006,1.0
20,MySQL,InnoDB,2.0,clients_100000_all,clients_100000_all,ALL,0.0924,0.001,72478.0,0.0091,0.0034,100000.0,group_by_order,select,0.0208,0.0033,1.0
21,MySQL,InnoDB,2.0,clients_10000_all,clients_10000_all,ALL,0.0231,0.0007,9384.0,0.0093,0.0032,10000.0,group_by_order,select,0.0055,0.0036,1.0
22,MySQL,InnoDB,2.0,clients_1000_all,clients_1000_all,ALL,0.0146,0.0008,989.0,0.0091,0.0037,1000.0,group_by_order,select,0.0036,0.0038,1.0
