Size,CPU,Postgres ,MariaDB InnoDB ,MariaDB Aria,MySQL InnoDB,MSSQL ,MySQL MyISAM ,Oracle ,TEST,CZY_INDEKSOWANE,5th,95th,AVG,STDDEV
<= 10^5,1,1.367065684,-0.864626875,-1.5,-1.066474228,1.019281748,-0.455246329,2,SELECT_LOG_ALL,N/D,0.11209,1.9406,0.24164,0.105525288
<= 10^5,2,1.082545195,-1.042017296,-1.5,-0.937545381,1.303197086,-0.406179603,2,SELECT_LOG_ALL,N/D,0.08188,1.61005,0.2071,0.111034625
<= 10^5,3,1.043745525,-1.047841438,-1.5,-0.934758618,1.334911526,-0.396056995,2,SELECT_LOG_ALL,N/D,0.0822,1.60504,0.20758,0.112307068
<= 10^6,1,1.319666173,-0.54845156,-1.5,-1.211034167,1.054882143,-0.615062589,2,SELECT_LOG_ALL,N/D,1.04544,18.85801,2.349,0.963804352
<= 10^6,2,1.060963104,-0.911498052,-1.5,-1.01636235,1.337545078,-0.470647779,2,SELECT_LOG_ALL,N/D,0.79677,15.77992,1.9792,1.047067515
<= 10^6,3,1.053185106,-0.978146786,-1.5,-0.982809868,1.335954414,-0.428182865,2,SELECT_LOG_ALL,N/D,0.79275,15.72099,1.96382,1.072252156
<= 10^7,1,1.261230334,-1.132920929,-1.5,-0.744475895,1.139261109,-0.52309462,2,SELECT_LOG_ALL,N/D,10.42337,190.80046,22.6588,10.09434967
<= 10^7,2,1.062753632,-1.031245442,-1.5,-0.892400915,1.336023533,-0.475130807,2,SELECT_LOG_ALL,N/D,7.94337,156.52984,19.74856,10.59026256
<= 10^7,3,1.014488954,-1.030110452,-1.5,-0.891714425,1.376408652,-0.469072729,2,SELECT_LOG_ALL,N/D,7.90041,155.89452,19.78404,10.61229888
<= 10^5,1,1.374840676,-1.304123662,-1.5,-0.254517539,-0.722778844,0.90657937,2,SELECT_LOG_WHERE,0,0.006708,0.04218,0.02168,0.010464243
<= 10^5,2,1.056650841,-1.410410907,-1.5,-0.123835312,-0.700576096,1.178171474,2,SELECT_LOG_WHERE,0,0.006655,0.036733333,0.020136667,0.008640508
<= 10^5,3,1.034382596,-1.453126247,-1.5,-0.182079409,-0.595364577,1.196187638,2,SELECT_LOG_WHERE,0,0.006706,0.03595,0.020356667,0.008549383
<= 10^6,1,-0.663492562,1.204825844,-0.759303763,1.228778644,-1.010808164,2,-1.5,SELECT_LOG_WHERE,0,0.08278,0.68924,0.19358,0.100197054
<= 10^6,2,-0.601097257,0.602063651,-0.704984645,1.680801293,-0.976783043,2,-1.5,SELECT_LOG_WHERE,0,0.07832,0.68577,0.17486,0.082781945
<= 10^6,3,-1.5,0.753063437,-0.555489205,1.582746074,-0.758874443,2,-1.021445862,SELECT_LOG_WHERE,0,0.06303,0.69101,0.16432,0.092927098
